phase,env_steps,steps,seconds,mean_reward,mean_raw_return,returns,lengths,optimizer_steps,mean_loss,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance
episodes,332,,,,517.6062139235437,[517.6062139235437],[83],,,,,,,,
collection,512,512,0.31606679095420986,7.170955351881275,,,,,,,,,,,
update,512,512,1.098719291971065,,,,,8,964.7162933349609,0.05632817558944225,964.6599655151367,-29.22648024559021,0.5332980752573349,0.7216796875,0.0012020504251625264
episodes,528,,,,883.4328009858727,[883.4328009858727],[132],,,,,,,,
episodes,668,,,,529.9967218413949,[529.9967218413949],[84],,,,,,,,
collection,1024,512,0.37041633296757936,7.386577596000279,,,,,,,,,,,
update,1024,512,0.06871204194612801,,,,,8,1008.6802749633789,0.2919324995018542,1008.3883361816406,-29.22634506225586,0.6185738786589354,0.794921875,0.001764955938348689
episodes,1476,,,,2692.385016068816,[2692.385016068816],[369],,,,,,,,
collection,1536,512,0.2997259999392554,7.293503548222361,,,,,,,,,,,
update,1536,512,0.0697839999338612,,,,,8,1000.7546463012695,0.0752551332116127,1000.6793823242188,-29.226263523101807,0.22103573818458244,0.7294921875,0.00026738349674115813
episodes,1864,,,,658.3187635801733,[658.3187635801733],[97],,,,,,,,
collection,2048,512,0.29627295793034136,7.277182006910152,,,,,,,,,,,
update,2048,512,0.05710424995049834,,,,,8,981.978630065918,0.03507988480851054,981.9435577392578,-29.226269960403442,0.11384357954375446,0.662109375,0.0027751935124272764
episodes,2244,,,,3067.6234768033028,[3067.6234768033028],[429],,,,,,,,
episodes,2444,,,,1007.4152175784111,[1007.4152175784111],[145],,,,,,,,
episodes,2476,,,,3257.5188343822956,[3257.5188343822956],[452],,,,,,,,
collection,2560,512,0.3123488751007244,6.676968903804664,,,,,,,,,,,
update,2560,512,0.06391520891338587,,,,,8,846.8048324584961,0.03143355355132371,846.7733993530273,-29.226109981536865,0.24653239332837984,0.6015625,0.006692747611677041
episodes,2696,,,,387.60502576828003,[387.60502576828003],[63],,,,,,,,
episodes,2764,,,,5044.1433919891715,[5044.1433919891715],[691],,,,,,,,
episodes,3056,,,,1400.0522658228874,[1400.0522658228874],[203],,,,,,,,
collection,3072,512,0.33604170801118016,6.953088407564792,,,,,,,,,,,
update,3072,512,0.059982625069096684,,,,,8,895.6957321166992,0.03325742052402347,895.6624755859375,-29.22586488723755,0.18031101510860026,0.5703125,0.00774574965236885
episodes,3112,,,,703.1294612884521,[703.1294612884521],[104],,,,,,,,
episodes,3244,,,,1357.8722298145294,[1357.8722298145294],[192],,,,,,,,
episodes,3584,,,,880.8307718336582,[880.8307718336582],[132],,,,,,,,
collection,3584,512,0.31304379098583013,6.965926931530703,,,,,,,,,,,
update,3584,512,0.07807550008874387,,,,,8,943.9765167236328,0.05119663034565747,943.9253234863281,-29.225443601608276,0.2365887473570183,0.6103515625,0.004094887700876293
episodes,3892,,,,1101.483061939478,[1101.483061939478],[162],,,,,,,,
collection,4096,512,0.3760071250144392,7.3476800111238845,,,,,,,,,,,
update,4096,512,0.0649768749717623,,,,,8,996.367790222168,0.023278081323951483,996.3445129394531,-29.224897861480713,0.07622902793809772,0.5732421875,0.00736670148839913
